name,platform,year_of_release
Baseball,G,1989
Yakuman,G,1989
SolarStriker,G,1989
The Final Fantasy Legend,G,1989
Famicom Jump: Eiyuu Retsuden,NES,1989
Castlevania III: Draculas Curse,NES,1989
Double Dragon,2600,1989
Klax,2600,1989
Adventures of Lolo,NES,1989
Tetris,GB,1989
Super Mario Land,GB,1989
Tetris,NES,1989
Famista '89 - Kaimaku Han!!,NES,1989
Dragon Warrior,NES,1989
Tennis,GB,1989
Alleyway,GB,1989
Baseball,GB,1989
Tecmo Bowl,NES,1989
Mega Man 2,NES,1989
Yakuman,GB,1989
Bomberman,NES,1989
Rampage,2600,1989
Ghostbusters II,2600,1989
SimCity,PC,1989
Super Mario World,SNES,1990
Dr. Mario,NES,1990
F-1 Race,G,1990
Dragon Warrior IV,NES,1990
F-Zero,SNES,1990
Streets of Rage,GEN,1990
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990
Final Fight,SNES,1990
Nintendo World Cup,NES,1990
Final Fantasy III,NES,1990
Disney's Chip n Dale: Rescue Rangers,NES,1990
Mega Man 3,NES,1990
Qix,G,1990
Pilotwings,SNES,1990
Extra Bases,G,1990
Famista 91,NES,1990
Super Mario Bros. 3,NES,1990
Dr. Mario,GB,1990
Dragon Quest II,NES,1990
Golf,GB,1990
Xevious,NES,1990
Disney's DuckTales,GB,1990
R.B.I. Baseball 2,NES,1990
Disney's Chip 'n Dale: Rescue Rangers,NES,1990
Final Fantasy,NES,1990
SolarStriker,GB,1990
Qix,GB,1990
The Final Fantasy Legend,GB,1990
Castlevania III: Dracula's Curse,NES,1990
Famista '91,NES,1990
KLAX,2600,1990
The Legend of Zelda: A Link to the Past,SNES,1991
Sonic the Hedgehog,GEN,1991
SimCity,SNES,1991
Final Fantasy II,SNES,1991
Metroid II: Return of Samus,G,1991
Yoshi,NES,1991
Super Scope 6,SNES,1991
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991
Super Ghouls n Ghosts,SNES,1991
Super R.C. Pro-Am,G,1991
NES Open Tournament Golf,NES,1991
Mega Man 4,NES,1991
Final Fantasy Legend III,G,1991
Yoshi,G,1991
Super Castlevania IV,SNES,1991
The Legend of the Mystical Ninja,SNES,1991
Bomberman II,NES,1991
Super Wagyan Land,SNES,1991
Super Fire ProWrestling,SNES,1991
Super Soccer,SNES,1991
Final Fantasy Adventure,G,1991
Battle Dodge Ball,SNES,1991
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991
Tetris 2 + Bombliss,NES,1991
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991
Mega Man: Dr. Wilys Revenge,G,1991
Famista 92,NES,1991
Mega Man II,G,1991
Lord of Darkness,SNES,1991
Romance of the Three Kingdoms II,SNES,1991
Super R-Type,SNES,1991
Super Baseball Simulator 1.000,SNES,1991
GameBoy Wars,G,1991
Battle Commander: Hachibushu Shura no Heihou,SNES,1991
SimEarth: The Living Planet,SNES,1991
World League Soccer,SNES,1991
UN Squadron,SNES,1991
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991
John Madden Football,SNES,1991
Teenage Mutant Ninja Turtles II: Back from the Sewers,G,1991
Lagoon,SNES,1991
Super Mario World,SNES,1991
F-1 Race,GB,1991
F-Zero,SNES,1991
Metroid II: Return of Samus,GB,1991
Final Fight,SNES,1991
Tecmo Super Bowl,NES,1991
R.B.I. Baseball 3,NES,1991
Pilotwings,SNES,1991
Super R.C. Pro-Am,GB,1991
Super Ghouls 'n Ghosts,SNES,1991
Final Fantasy Adventure,GB,1991
Extra Bases,GB,1991
Mega Man: Dr. Wily's Revenge,GB,1991
Famista '92,NES,1991
GameBoy Wars,GB,1991
Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991
Super Mario Land 2: 6 Golden Coins,G,1992
Super Mario Kart,SNES,1992
Street Fighter II: The World Warrior,SNES,1992
Sonic the Hedgehog 2,GEN,1992
Kirbys Dream Land,G,1992
Street Fighter II Turbo,SNES,1992
The Legend of Zelda: Links Awakening,G,1992
Dragon Quest V: Tenkuu no Hanayome,SNES,1992
Mario Paint,SNES,1992
Mortal Kombat,GEN,1992
Final Fantasy V,SNES,1992
Kirbys Pinball Land,G,1992
SimCity 2000,PC,1992
NBA Jam,GEN,1992
Yoshis Cookie,G,1992
Street Fighter II: Special Champion Edition,GEN,1992
Tetris 2 (All region sales),G,1992
The Magical Quest starring Mickey Mouse,SNES,1992
Yoshis Cookie,NES,1992
Romancing SaGa,SNES,1992
Mega Man 5,NES,1992
The 7th Guest,PC,1992
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992
Super Bomberman,SNES,1992
Super Batter Up,SNES,1992
Fatal Fury,SNES,1992
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992
F1 ROC: Race of Champions,SNES,1992
F-1 Grand Prix,SNES,1992
Tetris 2 (weekly jp sales),G,1992
Super Adventure Island,SNES,1992
Ghostbusters II,2600,1992
Otogirisou,SNES,1992
Battle Soccer: Field no Hasha,SNES,1992
Contra III: The Alien Wars,SNES,1992
